OBJECTID,305B ID,Acres,NHD Basin,Cycle,Name,Location,Aquatic Life,Recreation,FIish Consumption,Drinking Water Supply,Shape__Area,Shape__Length
69,CT6005-00-1-L1_01,348.14,01100005,2012,Wononscopomuc (Lakeville) Lake (Salisbury),South central Salisbury.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,15165031.4593506,15376.5147310112
70,CT6301-00-1-L1_01,167.5,01100005,2012,"Wononpakook, Lake (Salisbury)","Located west of Route 41, Southwestern Salisbury (also known as Long Pond).",Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,7296355.4541626,14481.3305624531
71,CT6905-00-1-L3_01,248.07,01100005,2012,"Winchester, Lake (Winchester)",HUC: 01100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,10805906.5325317,28598.1475975111
72,CT6301-00-2-L2_01,211.17,01100005,2012,Mudge Pond (Sharon),Northwest Sharon.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,9198649.6496582,15099.2556114311
73,CT6905-00-1-L4_01,74.95,01100005,2012,Park Pond (Winchester),Southwest corner of Winchester; drains to East Branch of Naugatuck River,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3264879.01086426,11072.9595260598
74,CT7301-04-1-L2_01,82.47,01100006,2012,Popes Pond (Wilton),Wilton,Fully Supporting,Not Assessed,Fully Supporting,Not Assessed,3592354.91494751,15396.0742923012
75,CT7200-00-3-L5_01,823.11,01100006,2012,Saugatuck Reservoir (Weston/Easton/Redding),Weston,Fully Supporting,Not Assessed,Fully Supporting,Not Assessed,35854367.9295349,79195.9020644604
76,CT7407-00-3-L14_01,161.43,01100006,2012,Bargh (Mianus) Reservoir (Stamford),Impoundment of the Mianus River in the NW corner of Stamford.,Fully Supporting,Not Assessed,Fully Supporting,Not Assessed,7031969.42352295,24958.4034650493
77,CT6914-09-1-L2_01,65.19,01100005,2012,Chestnut Hill Reservoir (Wolcott),"Near western border of Wolcott, north side of Lyman Road, west of Route 69.",Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2839713.45782471,8232.18249396243
78,CT3600-00-3-L5_01,68.36,01100001,2012,Doaneville Pond (Griswold/Voluntown),"Eastern border of Griswold just overlapping Voluntown border, north of Rte 165 and east of Sheldon Rd.  Pond formerly considered part of Glasgo Pond; separated from Glasgo Pond by Sheldon Rd.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2977778.72424316,11527.119946627
79,CT4304-05-2-L2_01,49.2,01080207,2012,"Triangle, Lake (Colebrook)","Northwest corner of Colebrook (North Colebrook area); lake is east of Rte 183, access by Prock Hill Road on YMCA Camp Jewelll property.",Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2142627.76037598,11433.1535748055
80,CT2107-00-1-L1_01,146.22,01100003,2012,Morgan Pond (Ledyard),"South side of Sandy Hollow Road, West of Route 117 intersection, ledyard.",Fully Supporting,Not Assessed,Fully Supporting,Not Assessed,6369266.99847412,20844.8594447793
81,CT6008-00-1-L1_01,67.31,01100005,2012,Cream Hill Lake (Cornwall),Northeastern Cornwall.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2931950.27832031,7408.7217727335
82,CT6701-01-1-L1_01,40.37,01100005,2012,West Side Pond (Goshen),West central Goshen; drains to West Side Pond Brook to Tyler Lake,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,1758416.97027588,5484.33917799399
83,CT6904-00-3-L1_01,93.52,01100005,2012,Stillwater Pond (Torrington),"Impoundment of West Branch of the Naugatuck River, Torrington; east of Rte 272.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4073698.59912109,17087.9883429376
84,CT6701-00-1-L1_01,187.22,01100005,2012,Tyler Lake (Goshen),West central Goshen; headwaters of Marshepaug River.,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,8155507.10241699,18755.5130840196
85,CT6703-00-2-L1_01,65.77,01100005,2012,Dog Pond (Goshen),South central Goshen; along West Branch of Bantam River,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,2864776.68743896,7494.95399455674
86,CT6700-03-1-L2_01,16.34,01100005,2012,Mohawk Pond (Goshen/Cornwall),Goshen - Cornwall boundary within Mohawk State Forest.,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,711650.978393555,3355.22721180879
87,CT6500-00-1-L1_01,82.26,01100005,2012,South Spectacle Pond (Kent),East central Kent at headwaters of the West Aspetuck River.,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,3583242.82885742,8764.79567799378
88,CT6705-00-3-L3_01,955.45,01100005,2012,Bantam Lake (Litchfield/Morris),"Litchfield, Morris",Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,41619104.592041,49683.9265269753
89,CT6502-00-1-L2_01,640.81,01100005,2012,"Waramaug, Lake (Kent/Warren/Washington)","Southwest corner of Warren, Northwest corner of Washington; headwaters of East Aspetuck River.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,27913623.9884644,48901.5422399961
90,CT6016-00-1-L2_01,20.14,01100005,2012,Leonard Pond (Kent),"Central Kent, headwaters of Womenshenuck Brook.",Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,877487.876464844,4538.23578407227
91,CT6705-14-1-L1_01,55.14,01100005,2012,Mount Tom Pond (Litchfield/Morris/Wahington),"Northwest corner of Morris, southwest corner of Litchfield, within Mount Tom State Park.",Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,2401886.59057617,7952.21303985042
