OBJECTID,CT LAKE ID,305B ID,Name,Location,Acres,Aquatic Life,Recreation,Fish Consumption,Cycle,Drinking Water Supply,Shape__Area,Shape__Length
53,1075,CT1002-00-1-L1_01,Green Falls Reservoir (Voluntown),"SE Voluntown, east of Rte 49, south of Rte 138, in Pachaug State Forest",46.15,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,2010129.80749512,10451.6115977195
54,985,CT3906-00-1-L1_01,Gardner Lake (Salem/Montville/Bozrah),"At junction of Salem, Montville and Bozrah.",527.29,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,22968867.9140015,30886.0699206136
55,33,CT3002-02-1-L2_01,Amos Lake (Preston),"East of Rte 164, Preston.",112.42,Fully Supporting,Not Supporting,Fully Supporting,2006,Not Evaluated In 2006,4897158.84100342,13730.5853841295
56,216,CT3605-00-1-L1_01,Billings Lake (North Stonington),North central North Stonington.,94.88,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,4132856.25305176,17083.7508269988
57,35,CT3605-01-1-L1_01,Anderson Pond (North Stonington),North central North Stonington,49.18,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,2142221.24493408,10054.2071461835
58,80,CT3002-04-1-L1_01,Avery Pond (Preston),"East of Rte 164, north of Rte 2, Preston.",45.62,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Assessed,1987235.72039795,5721.82175879192
59,3586,CT1001-00-1-L1_01,Wyassup Lake (North Stonington),"North central North Stonington, east of Rte 49.  Headwaters of Wyassup Brook.",98.94,Fully Supporting,Not Supporting,Not Supporting,2006,Water Not Classified For Drinking Supply,4309739.88677979,13629.0937976478
60,142,CT3600-00-1-L1_01,Beach Pond (Voluntown/Rhode Island),Eastern border of Voluntown with RI.,407.6,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,17755109.2549438,36181.4278817315
61,1530,CT3002-06-1-L1_01,Lake Of Isles (North Stonington),"Near western border of North Stonington, north of Rte 2.",91.25,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,3974767.96057129,18330.5870094711
62,1575,CT2104-00-1-L1_01,Lantern Hill Pond  (Ledyard/North Stonington),Border of Ledyard and North Stonington; now part of Mashentucket Reservation.,20.06,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,873627.204589844,4067.52907119877
63,2310,CT2205-00-1-L1_01,Powers Lake (East Lyme),"East Lyme, Headwaters of Pataganset River.",146.5,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,6381741.42425537,17778.7693921978
64,2184,CT2205-00-1-L2_01,Pataganset Lake (East Lyme),"East Lyme,  Pataganset River system.",125.7,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,5475564.73266602,19706.1531536832
65,1045,CT2205-00-1-L3_01,Gorton Pond (East Lyme),East Lyme. Impoundment of Pataganset River.,52.41,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,2283049.44567871,14586.4371675463
66,743,CT2205-02-1-L1_01,Dodge Pond (East Lyme),"East Lyme; near Niantic village center, east of Rte 161, north of Rte 156.",29.59,Fully Supporting,Fully Supporting,Not Supporting,2006,Water Not Classified For Drinking Supply,1288841.0010376,5134.84511026493
67,3409,CT6002-00-1-L1_01,"Washining Lake (Twin Lakes, Eastern) (Salisbury)",Northestern Salisbury,565.31,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,24624691.5964355,27835.0547134911
68,3556,CT6100-04-1-L1_01,Wood Creek Pond (Norfolk),"North-central Norfolk, near MA border; headwaters of Wood Creek.",147.62,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,6430417.62463379,17293.9136370336
69,3555,CT6005-00-1-L1_01,Wononscopomuc (Lakeville) Lake (Salisbury),South central Salisbury.,348.14,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,15165054.7484741,15376.5340867683
70,3554,CT6301-00-1-L1_01,"Wononpakook, Lake (Salisbury)","Located west of Route 41, Southwestern Salisbury (also known as Long Pond).",167.5,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,7296345.8782959,14481.4345484006
71,1550,CT6905-00-1-L3_01,"Winchester, Lake (Winchester)",HUC: 01100005,248.07,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,10805858.0003052,28598.156329619
72,1945,CT6301-00-2-L2_01,Mudge Pond (Sharon),Northwest Sharon.,211.17,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,9198629.77099609,15099.1148257023
73,2165,CT6905-00-1-L4_01,Park Pond (Winchester),Southwest corner of Winchester; drains to East Branch of Naugatuck River,74.95,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,3264908.36962891,11072.8736961972
74,636,CT6008-00-1-L1_01,Cream Hill Lake (Cornwall),Northeastern Cornwall.,67.31,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,2931975.01776123,7408.76405760976
75,3463,CT6701-01-1-L1_01,West Side Pond (Goshen),West central Goshen; drains to West Side Pond Brook to Tyler Lake,40.37,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,1758442.59106445,5484.19523163357
76,2761,CT6904-00-3-L1_01,Stillwater Pond (Torrington),"Impoundment of West Branch of the Naugatuck River, Torrington; east of Rte 272.",93.52,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,4073698.42114258,17088.3658724672
77,2985,CT6701-00-1-L1_01,Tyler Lake (Goshen),West central Goshen; headwaters of Marshepaug River.,187.22,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,8155504.54907227,18755.2750227273
78,746,CT6703-00-2-L1_01,Dog Pond (Goshen),South central Goshen; along West Branch of Bantam River,65.77,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,2864739.49584961,7495.02455297558
79,1894,CT6700-03-1-L2_01,Mohawk Pond (Goshen/Cornwall),Goshen - Cornwall boundary within Mohawk State Forest.,16.34,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,711655.403198242,3355.22191444715
